;;;;;;;Total Sexual Violence at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: Total ""Sexual violence” means rape and sexual assault, including Sexual Offences against Children. ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Ecuador;;;;;;;3.692;3.651;3.617;4.082;3.869;3.024;;;;;;;;25,1;24,4;23,8;26,5;24,7;19,0
;;Guyana;;;239;229;138;134;105;147;297;280;307;;;;;32,2;30,8;18,5;17,9;14,0;19,5;39,3;36,9;40,3;
;;Paraguay;;;;;;2.752;3.114;3.395;3.528;3.951;4.087;4.192;;;;;;;45,5;50,8;54,7;56,1;61,9;63,2;64,0
;;Peru;;;;;7.208;7.560;6.751;5.273;5.335;6.172;5.807;5.614;;;;;;25,5;26,4;23,3;18,0;17,9;20,5;19,0;18,1
;;Uruguay;;;;;;;;;;1.365;1.372;1.536;;;;;;;;;;;40,2;40,3;44,9
Asia;Central Asia;Kazakhstan;;;;408;382;344;354;352;372;422;511;;;;;;2,6;2,4;2,2;2,2;2,2;2,2;2,5;3,0;
;;Kyrgyzstan*;15;17;16;18;14;13;34;;57;78;74;78;;0,3;0,3;0,3;0,3;0,3;0,2;0,6;;1,0;1,4;1,3;1,3
;;Tajikistan;;;;169;171;182;168;197;201;;;;;;;;2,4;2,4;2,5;2,3;2,6;2,6;;;
;Eastern Asia;Hong Kong Special Administrative Region of China;;1.392;1.460;1.524;1.821;1.856;1.793;1.836;1.806;1.863;1.781;;;;20,3;21,3;22,2;26,5;26,9;25,8;26,3;25,6;26,2;24,9;
;;Japan;12.501;11.360;10.827;10.274;9.430;8.729;8.142;8.362;8.122;8.589;9.063;8.650;;9,9;9,0;8,5;8,1;7,4;6,9;6,4;6,6;6,4;6,8;7,1;6,8
;;Macao Special Administrative Region of China*;;;;;;43;46;45;48;49;53;55;;;;;;;8,5;8,8;8,4;8,8;8,8;9,3;9,5
;;Mongolia;;;338;323;366;373;347;362;388;332;405;353;;;;13,4;12,6;14,1;14,2;13,0;13,3;14,1;11,8;14,2;12,1
;;Republic of Korea;;;;13.652;13.435;15.021;15.688;18.220;19.491;19.619;22.310;21.055;;;;;28,5;27,9;31,0;32,1;37,1;39,5;39,5;44,8;42,0
