;;;;;;; Theft of Private Cars at the national level, number of police-recorded offences  ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Private Cars"" means Motor Vehicles, excluding motorcycles, commercial vehicles, buses, lorries, construction and agricultural vehicles.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Israel;;;;;;;;12.600;13.633;;;;;;;;;;;;169,8;180,3;;;
;;Jordan;;;;;2.062;2.482;2.032;1.980;3.579;4.088;;;;;;;;35,8;41,3;32,4;30,4;52,9;58,4;;
;;State of Palestine;;;;286;;;;;;;;;;;;;7,8;;;;;;;;
;;United Arab Emirates;;;;;;;;;;767;594;554;;;;;;;;;;;8,6;6,6;6,1
;;Yemen;;;623;577;866;1.067;794;;;;;;;;;3,0;2,7;4,0;4,8;3,5;;;;;
Europe;Eastern Europe;Belarus*;;;1.186;1.349;1.267;1.260;513;369;356;333;331;234;;;;12,3;14,1;13,3;13,2;5,4;3,9;3,8;3,5;3,5;2,5
;;Czech Republic;;;18.629;17.042;;;;;;;;;;;;182,1;165,9;;;;;;;;
;;Hungary;;6.968;6.903;6.374;6.284;5.804;5.327;4.779;4.951;5.636;4.682;4.183;;;68,9;68,4;63,2;62,4;57,7;53,1;47,7;49,6;56,6;47,2;42,3
;;Poland;;;42.446;28.372;;;;;;;;;;;;110,4;73,7;;;;;;;;
;;Republic of Moldova;;;103;80;103;67;64;116;95;110;184;168;;;;2,5;1,9;2,5;1,6;1,6;2,8;2,3;2,7;4,5;4,1
;;Romania*;;;1.082;1.266;1.817;2.355;2.967;2.531;1.881;1.627;2.892;5.428;;;;5,1;6,0;8,7;11,4;14,5;12,5;9,4;8,2;14,6;27,6
;;Russian Federation;;57.259;53.611;51.081;45.827;40.624;36.997;35.261;36.934;37.705;36.055;34.587;;;39,8;37,3;35,6;32,0;28,4;25,8;24,6;25,8;26,3;25,1;24,1
;;Slovakia;;;5.370;5.040;4.530;3.960;3.582;3.223;2.619;2.462;2.353;3.866;;;;99,7;93,5;84,0;73,4;66,3;59,6;48,4;45,5;43,4;71,3
;;Ukraine;6.447;5.415;5.735;5.155;5.131;4.376;3.950;3.219;;;;;;13,6;11,5;12,3;11,1;11,1;9,5;8,6;7,1;;;;
;Northern Europe;Latvia*;3.369;2.960;2.040;2.155;1.688;1.869;1.797;1.237;;778;1.062;1.127;;147,3;131,2;91,6;98,0;77,7;87,2;84,9;59,2;;38,2;52,8;56,7
;;Lithuania;5.749;5.415;3.809;2.863;2.299;2.043;1.442;1.590;1.441;1.383;1.189;971;;168,8;160,4;113,9;86,6;70,4;63,5;45,5;50,9;46,9;45,8;40,1;33,3
;;Norway;14.508;12.270;9.995;9.385;7.439;6.942;7.190;6.689;5.705;4.701;3.845;3.405;;318,1;267,4;216,1;201,1;157,7;145,5;148,8;136,8;115,2;93,7;75,6;66,1
;;Sweden;;;31.588;26.326;22.410;19.401;16.411;14.728;13.787;11.146;11.016;10.314;;;;349,8;289,7;244,8;210,3;176,4;157,0;145,7;116,8;114,5;106,3
;Southern Europe;Albania;;;708;531;437;388;504;627;611;677;572;401;;;;23,0;17,4;14,5;13,1;17,2;21,6;21,2;23,5;19,8;13,9
;;Andorra;;;;;;;;;;;;0;;;;;;;;;;;;;0,0
;;Bosnia and Herzegovina;;;;;445;272;;;;;;;;;;;;11,6;7,1;;;;;;
;;Croatia;1.508;1.514;1.431;1.077;1.062;930;781;614;616;588;498;393;;34,3;34,5;32,7;24,7;24,4;21,4;18,0;14,2;14,3;13,7;11,7;9,2
;;Greece;;5.568;5.860;6.799;7.494;7.834;9.097;9.937;11.554;11.145;10.322;9.592;;;50,4;52,9;61,3;67,3;70,2;81,4;88,9;103,6;100,3;93,4;87,2
;;Italy;;;180.988;182.524;173.143;144.670;135.528;127.856;126.909;126.627;122.924;119.957;;;;308,6;309,8;292,8;243,9;227,9;214,6;212,7;212,0;205,7;200,6
;;Serbia;;;3.549;3.626;4.287;4.077;3.265;3.266;3.359;2.757;2.046;1.774;;;;38,6;39,6;47,0;44,8;35,9;36,1;37,2;30,7;22,9;19,9
;;Slovenia;575;592;726;694;682;475;484;421;405;419;508;492;;28,9;29,7;36,4;34,6;33,8;23,4;23,7;20,5;19,7;20,3;24,6;23,8
;;Spain;;;69.163;64.277;52.286;42.467;36.540;34.998;32.970;35.131;22.079;19.247;;;;157,7;144,3;115,7;92,7;78,9;75,1;70,6;75,3;47,5;41,6
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;5.148;7.220;5.204;4.091;4.651;5.297;2.617;2.657;2.306;2.261;1.648;;;62,8;87,7;62,9;49,3;55,8;63,4;31,2;31,5;27,3;26,6;19,3
;;Belgium;21.906;20.349;17.941;18.385;16.759;15.800;14.505;12.993;12.854;11.780;10.871;10.545;;210,1;193,9;169,9;172,9;156,6;146,6;133,6;118,9;116,8;106,3;97,5;93,9
;;France;;;;157.437;143.130;131.077;127.742;121.251;116.232;111.305;111.950;108.850;;;;;255,5;231,0;210,4;203,9;192,6;183,7;175,1;175,3;169,8
;;Germany;;;50.361;42.320;;;;;;;;;;;;62,0;52,2;;;;;;;;
;;Liechtenstein;12;16;12;12;3;6;3;2;1;2;5;4;;35,0;46,3;34,4;34,1;8,5;16,8;8,3;5,5;2,7;5,4;13,5;10,7
;;Monaco;;;16;10;;;;;;;;;;;;47,3;29,1;;;;;;;;
;;Netherlands;;;20.635;18.085;15.610;15.175;14.600;14.215;13.390;12.715;13.250;12.055;;;;126,3;110,3;94,8;91,9;88,1;85,5;80,2;75,9;78,8;71,5
;;Switzerland*;;;;;;;2.624;2.567;2.461;2.474;2.194;1.968;;;;;;;;33,9;32,8;31,1;30,8;27,0;24,0
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;
