;;;;;;;Theft at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Theft” means depriving a person or organisation of property without force with the intent to keep it . “Theft” excludes Burglary, housebreaking, Robbery, and Theft of a Motor Vehicle, which are recorded separately.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Panama*;;11.873;13.978;17.928;13.982;16.608;18.168;18.262;18.435;20.304;20.587;;;;364,1;421,1;530,6;406,6;474,7;510,4;504,4;500,7;542,3;541,0;
;Northern America;Bermuda;969;1.003;;;;;729;608;588;559;486;;;1.493,6;1.541,7;;;;;1.133,6;950,7;924,8;884,8;774,2;
;;Canada;720.021;690.967;655.885;634.912;597.504;569.714;574.950;544.231;515.591;514.920;486.562;489.137;;2.278,8;2.164,8;2.033,4;1.946,9;1.811,6;1.707,6;1.703,7;1.594,8;1.494,5;1.476,8;1.381,1;1.374,5
;;United States of America;7.026.802;6.937.089;6.783.447;6.626.363;6.591.542;6.586.206;6.338.095;6.204.601;6.151.095;6.168.874;6.019.465;5.858.496;;2.414,7;2.363,3;2.290,6;2.217,2;2.185,1;2.163,1;2.063,0;2.002,3;1.969,0;1.959,6;1.898,1;1.833,9
;South America;Argentina;;;303.669;292.041;264.797;284.205;;;;;;;;;;775,7;738,2;662,5;703,8;;;;;;
;;Bolivia (Plurinational State of);;;3.800;3.829;4.292;4.825;5.363;5.050;4.520;5.200;;;;;;41,6;41,2;45,5;50,3;55,0;50,9;44,8;50,8;;
;;Brazil;;;;2.058.942;2.021.060;1.866.732;1.791.139;1.382.710;1.240.590;1.425.070;1.784.745;;;;;;1.079,7;1.048,4;958,4;910,6;696,2;618,7;704,1;873,8;
;;Chile;;;155.270;153.713;167.893;175.648;191.103;186.982;208.131;191.095;188.283;192.210;;;;964,6;944,2;1.019,8;1.055,2;1.135,5;1.098,9;1.210,0;1.099,0;1.071,3;1.082,1
;;Colombia;;55.079;68.739;91.493;84.131;74.151;93.743;91.823;101.122;126.463;137.159;136.880;;;128,9;158,8;208,7;189,6;165,1;206,4;200,0;217,9;269,8;289,7;286,4
;;Ecuador*;4.277;4.719;5.956;5.968;;;2.535;5.020;11.714;15.975;19.093;24.300;;32,2;34,9;43,4;42,7;;;17,3;33,6;77,2;103,6;121,9;152,8
;;Guyana;;;;;;;;3.906;1.909;1.669;2.898;;;;;;;;;;518,5;252,6;220,1;380,8;
