;;;;;;;Domestic Burglary/Housebreaking at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Domestic burglary/housebreaking"" means Burglary of a house, apartment or other dwelling place.  ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Asia;Central Asia;Kazakhstan;;;;17.717;14.205;13.341;13.727;18.705;32.678;42.939;45.873;;;;;;113,5;90,2;83,8;85,3;114,7;197,4;255,3;268,3;
;;Kyrgyzstan*;130;132;148;159;169;181;;1.159;7.400;6.500;9.166;8.539;;2,6;2,6;2,9;3,1;3,2;3,4;;21,2;133,2;115,1;159,5;146,1
;;Tajikistan;;;;97;148;260;175;273;151;;;;;;;;1,4;2,1;3,6;2,4;3,6;1,9;;;
;Eastern Asia;Hong Kong Special Administrative Region of China;;;;;;;;;;;2.709;;;;;;;;;;;;;37,8;
;;Japan;;170.991;142.945;120.023;103.490;91.200;81.598;74.652;67.011;61.015;57.821;48.120;;;134,9;112,6;94,4;81,3;71,6;64,1;58,6;52,7;48,0;45,5;38,0
;;Macao Special Administrative Region of China*;;;;;;793;584;412;623;499;351;189;;;;;;;156,3;112,0;77,1;114,0;89,5;61,8;32,7
;;Mongolia;;;;2.283;2.348;1.994;2.091;1.914;1.554;1.280;448;500;;;;;89,2;90,6;75,8;78,3;70,6;56,3;45,6;15,7;17,2
;;Republic of Korea;;;;31.363;36.375;36.414;37.998;37.339;34.952;;30.334;23.753;;;;;65,5;75,5;75,1;77,9;76,1;70,8;;60,9;47,4
;South-Eastern Asia;Singapore;;;;424;326;423;480;525;358;;;;;;;;9,2;6,9;8,7;9,7;10,3;6,9;;;
;;Thailand;;;;;;;;3.795;3.236;3.355;3.229;3.006;;;;;;;;;5,7;4,8;5,0;4,8;4,4
;;Myanmar;;;;;;;7;6;16;8;6;;;;;;;;;0,0;0,0;0,0;0,0;0,0;
;Southern Asia;Maldives;;;;;17;80;41;29;18;12;34;;;;;;;5,4;24,9;12,5;8,7;5,3;3,5;9,7;
;Western Asia;Armenia;;729;811;1.015;920;1.098;1.074;1.250;984;1.097;1.365;;;;24,1;26,9;33,8;30,8;36,9;36,2;42,2;33,2;36,8;45,6;
;;Azerbaijan;;;;;8;11;28;34;281;228;287;358;;;;;;0,1;0,1;0,3;0,4;3,0;2,4;3,0;3,7
;;Bahrain;;;;;2.494;2.479;;;;;;;;;;;;242,9;222,2;;;;;;
;;Cyprus;;;;;;;;;1.961;2.010;1.785;1.625;;;;;;;;;;175,6;178,0;156,4;140,9
;;Georgia;;3.680;4.578;5.017;2.684;2.347;1.860;1.552;;;;1.557;;;81,3;102,3;113,3;61,2;54,0;43,3;36,5;;;;38,6
;;Israel;;39.807;43.100;41.839;37.914;32.838;;26.821;25.035;;;;;;615,3;652,7;619,4;547,8;462,9;;361,5;331,0;;;
;;Jordan;;;;;1.811;1.605;2.022;1.488;2.874;2.731;;;;;;;;31,4;26,7;32,3;22,8;42,5;39,0;;
;;Kuwait;;249;232;253;257;279;256;;;;;;;;11,5;10,2;10,6;10,1;10,3;8,9;;;;;
;;Oman;;;;;806;987;;;;;;;;;;;;31,1;37,2;;;;;;
;;Syrian Arab Republic;;;;;3.241;3.346;;;;;;;;;;;;16,7;16,6;;;;;;
;;Turkey;31.971;36.639;57.389;89.334;46.985;40.065;44.244;46.493;47.532;54.179;;;;48,4;54,7;84,6;130,0;67,6;57,0;62,1;64,3;64,7;72,4;;
;;United Arab Emirates;;;;;;;;;;2.900;1.769;1.630;;;;;;;;;;;32,4;19,6;17,9
;;Yemen;;;1.350;1.477;1.436;1.530;1.388;;;;;;;;;6,6;7,0;6,6;6,9;6,0;;;;;
Europe;Eastern Europe;Belarus;;;;;31.500;26.451;24.464;21.645;19.908;16.680;14.800;13.129;;;;;;329,6;277,7;257,4;228,0;209,8;175,7;155,8;138,2
;;Bulgaria;8.939;7.777;7.232;7.885;7.193;6.745;7.963;8.338;6.558;6.456;6.396;5.345;;114,5;100,4;94,1;103,4;95,0;89,8;106,7;112,6;89,2;88,4;88,2;74,2
;;Czech Republic;12.163;11.670;10.361;9.603;9.163;9.111;9.616;10.091;9.568;9.718;11.117;8.877;;119,1;114,3;101,3;93,5;88,7;87,6;91,9;96,0;90,8;92,2;105,4;84,2
;;Hungary;19.366;18.671;17.786;16.856;17.415;19.239;17.625;19.866;21.072;22.587;22.665;24.123;;191,0;184,5;176,2;167,2;173,0;191,4;175,6;198,4;211,0;226,8;228,4;243,9
;;Poland;;;;;23.048;20.892;22.194;24.123;25.544;26.825;22.881;12.563;;;;;;59,9;54,2;57,6;62,5;66,2;69,5;59,2;32,5
;;Republic of Moldova;;;2.583;1.834;1.327;1.108;1.089;1.921;2.111;1.952;2.642;2.794;;;;62,1;44,2;32,1;27,0;26,6;47,0;51,8;47,9;64,9;68,6
;;Romania*;;;;;;10.285;11.574;14.197;16.311;15.292;15.085;25.592;;;;;;;49,6;56,4;69,9;81,1;76,7;76,2;130,2
;;Russian Federation;;281.723;297.511;267.932;250.163;206.706;184.473;154.958;129.581;114.107;100.624;94.783;;;195,6;207,1;186,9;174,7;144,4;128,9;108,2;90,5;79,6;70,2;66,1
;;Slovakia;;;;2.602;2.437;2.118;2.330;1.876;1.714;1.742;1.705;1.525;;;;;48,3;45,2;39,2;43,1;34,7;31,7;32,2;31,5;28,1
;;Ukraine;67.382;69.206;56.567;39.207;32.954;27.870;38.442;38.801;;;;;;141,9;146,8;120,9;84,3;71,3;60,5;83,9;85,0;;;;
;Northern Europe;Denmark;;;;;;44.015;48.745;44.810;45.896;43.482;41.919;36.841;;;;;;;801,0;882,5;807,2;823,0;776,3;745,3;652,4
;;Estonia;;;;;3.096;3.321;3.027;3.196;2.792;2.718;2.132;2.072;;;;;;230,3;247,8;226,6;239,9;210,2;205,3;161,5;157,4
;;Finland;7.373;7.901;7.281;5.923;6.532;5.978;6.497;6.453;6.672;6.281;5.749;6.363;;141,4;151,1;138,8;112,5;123,5;112,5;121,7;120,2;123,7;115,8;105,4;116,1
;;Iceland;;;;;;;968;907;569;440;371;;;;;;;;;308,0;285,2;177,2;136,1;114,0;
;;Latvia*;5.332;5.319;3.464;2.164;1.784;1.717;1.809;800;;731;703;432;;233,1;235,7;155,5;98,4;82,2;80,1;85,4;38,3;;35,9;34,9;21,7
;;Lithuania;8.573;9.174;7.065;6.637;5.516;6.076;5.799;4.905;4.081;3.526;3.265;3.342;;251,7;271,7;211,3;200,8;169,0;188,7;182,8;157,1;132,9;116,9;110,2;114,6
;;Norway;10.475;8.613;8.136;7.268;6.777;8.125;9.035;7.284;5.790;5.987;5.458;5.035;;229,7;187,7;175,9;155,7;143,7;170,3;187,0;148,9;116,9;119,3;107,4;97,8
;;Sweden;48.607;46.513;43.073;37.125;37.505;37.870;39.700;40.562;42.847;39.552;40.654;42.337;;543,5;517,8;477,0;408,5;409,7;410,5;426,7;432,3;452,8;414,4;422,4;436,3
;;United Kingdom (England and Wales);402.345;321.507;300.517;292.260;280.696;284.431;268.606;258.165;245.312;227.276;211.988;197.021;;761,1;604,9;560,9;541,7;516,1;518,6;486,3;463,6;436,7;401,8;372,2;343,2
;;United Kingdom (Northern Ireland);9.214;7.764;7.203;6.855;6.777;7.041;7.524;7.116;6.957;5.868;5.804;5.713;;540,4;453,0;416,9;393,3;384,7;395,8;419,6;394,3;383,4;321,8;317,2;310,4
;;United Kingdom (Scotland);;23.613;21.232;20.429;17.465;17.223;16.727;17.657;17.375;15.656;16.334;15.166;;;464,4;415,5;398,0;337,8;331,0;319,7;335,5;327,8;294,6;306,6;283,6
;Southern Europe;Albania;;;675;615;759;697;757;957;979;1.238;1.277;1.657;;;;21,9;20,2;25,2;23,5;25,8;33,0;33,9;43,0;44,3;57,3
;;Andorra;;;;;;;;;;;;0;;;;;;;;;;;;;0,0
;;Bosnia and Herzegovina;;;;;;;3.673;;;;;;;;;;;;;95,7;;;;;
;;Croatia;3.265;2.832;2.547;2.981;3.094;2.714;2.777;3.104;3.468;4.331;4.659;3.795;;74,4;64,6;58,2;68,2;71,0;62,5;64,1;71,9;80,6;101,0;109,1;89,2
;;Greece;10.126;;10.926;11.559;13.797;17.953;18.849;24.603;27.591;28.193;25.597;22.881;;91,8;;98,7;104,2;123,9;160,8;168,6;220,1;247,4;253,8;231,5;208,0
;;Italy;;;120.587;141.601;166.838;150.761;150.843;169.163;204.891;237.355;251.422;255.886;;;;205,6;240,3;282,1;254,2;253,7;283,9;343,3;397,3;420,6;428,0
;;Kosovo under UNSCR 1244;;;;;;2.376;2.305;2.977;3.329;3.256;6.566;5.348;;;;;;;131,6;127,0;163,0;181,2;176,2;353,2;285,8
;;Malta;;775;1.102;840;735;788;812;890;952;1.004;777;932;;;196,3;277,5;210,1;182,3;193,9;198,3;216,0;229,9;241,6;186,4;223,1
;;Portugal;21.963;22.587;21.847;23.335;22.343;29.663;26.045;26.653;28.307;25.151;22.206;19.312;;211,1;216,3;208,5;221,9;211,8;280,4;245,9;251,8;268,1;239,2;212,3;185,7
;;Serbia;;;7.056;6.359;5.692;6.009;6.121;5.946;6.925;6.738;7.789;6.589;;;;76,8;69,5;62,3;66,0;67,4;65,6;76,7;75,0;87,1;74,1
;;Slovenia;2.368;2.763;2.313;2.236;2.295;2.036;2.231;2.563;2.486;2.717;3.815;3.670;;119,1;138,8;115,9;111,5;113,8;100,3;109,2;124,9;120,7;131,7;184,8;177,6
;;Spain;;;;;82.344;93.920;97.852;110.231;100.780;126.425;127.444;121.779;;;;;;182,1;205,0;211,4;236,5;215,8;271,1;274,3;263,3
;;The former Yugoslav Rep. of Macedonia;;;;1.367;1.590;1.346;1.612;1.610;2.160;1.987;2.639;2.881;;;;;66,8;77,5;65,5;78,3;78,1;104,6;96,0;127,3;138,8
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;17.461;19.753;17.493;18.468;17.180;19.718;14.646;15.616;15.479;16.548;17.110;;;213,0;239,9;211,5;222,5;206,2;235,8;174,5;185,4;183,1;195,0;200,9
;;Belgium;64.053;57.544;56.974;63.493;62.964;64.061;69.456;68.569;75.341;81.103;80.903;78.080;;614,3;548,4;539,5;597,2;588,2;594,3;639,9;627,3;684,6;732,0;725,4;695,5
;;France*;216.797;202.880;181.503;177.840;165.780;166.250;179.408;186.524;216.271;234.090;246.190;232.502;;358,6;333,4;296,4;288,7;267,5;266,8;286,4;296,3;341,8;368,3;385,6;362,6
;;Germany;123.280;124.155;109.736;106.107;109.128;108.284;113.800;121.347;132.595;144.117;149.500;152.123;;151,1;152,5;135,1;130,9;135,0;134,2;141,3;150,9;164,9;179,1;185,6;188,6
;;Liechtenstein;54;81;62;97;102;105;193;;90;51;92;116;;157,5;234,3;177,9;276,0;287,9;293,9;536,1;;246,3;138,6;248,4;311,1
;;Luxembourg;;;;1.255;1.618;1.492;1.639;1.352;2.154;1.862;2.228;3.315;;;;;269,6;340,8;307,6;330,3;266,2;414,2;349,7;408,9;595,6
;;Netherlands*;;;96.015;95.165;89.415;91.245;94.580;102.545;108.400;112.030;110.825;93.115;;;;587,9;580,2;543,1;552,3;570,6;616,6;649,5;668,9;659,3;552,0
;;Switzerland*;;;;;;;26.101;25.074;28.485;35.801;33.332;30.773;;;;;;;;337,3;320,2;359,4;446,3;410,6;374,8
Oceania;Australia and New Zealand;Australia*;232.246;203.876;186.564;171.969;164.307;160.983;151.262;122.420;129.190;118.276;144.939;110.025;;1.176,8;1.020,1;920,2;834,5;783,3;753,3;694,8;552,4;573,1;516,2;622,8;465,8
;;New Zealand;;;37.946;39.847;39.214;40.888;43.024;42.424;43.338;39.532;39.831;;;;;917,7;951,6;925,3;954,1;993,8;971,0;984,0;891,2;892,0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;
