;;;;;;;Kidnapping at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Kidnapping” means unlawfully detaining a person or persons against their will (including through the use of force, threat, fraud or enticement) for the purpose of demanding for their liberation an illicit gain or any other economic gain or other material benefit, or in order to oblige someone to do or not to do something. “Kidnapping” excludes disputes over child custody. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Paraguay;;;1;5;;4;9;3;2;0;3;2;;;;0,0;0,1;;0,1;0,1;0,0;0,0;0,0;0,0;0,0
;;Peru*;275;469;497;611;463;483;822;476;471;446;430;701;;1,0;1,7;1,8;2,2;1,6;1,7;2,8;1,6;1,6;1,5;1,4;2,3
;;Uruguay;3;;;;;;;;;19;20;;;0,1;;;;;;;;;0,6;0,6;
Asia;Central Asia;Kazakhstan;;;92;84;84;89;120;124;196;80;107;;;;;0,6;0,5;0,5;0,6;0,7;0,8;1,2;0,5;0,6;
;;Kyrgyzstan*;17;24;24;13;34;25;6;84;66;60;41;51;;0,3;0,5;0,5;0,3;0,7;0,5;0,1;1,5;1,2;1,1;0,7;0,9
;;Tajikistan;;;;199;181;188;155;146;172;;;;;;;;2,9;2,5;2,6;2,1;1,9;2,2;;;
;;Turkmenistan;157;127;;;;;;;;;;;;3,4;2,7;;;;;;;;;;
;Eastern Asia;Hong Kong Special Administrative Region of China;0;1;0;0;3;0;0;1;0;0;1;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
;;Japan;284;320;277;199;207;156;156;186;153;190;185;198;;0,2;0,3;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,2
;;Macao Special Administrative Region of China*;;;;;;0;0;2;0;0;1;0;;;;;;;0,0;0,0;0,4;0,0;0,0;0,2;0,0
