Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Argentina,2001,All genders,Not applicable,Number,140099
Argentina,1999,All genders,Not applicable,Number,136678
Argentina,1999,Female,Not applicable,Number,55656
Armenia,2012,All genders,Not applicable,Number,37815
Armenia,2012,Female,Not applicable,Number,23113
Armenia,2011,Female,Not applicable,Number,22510
Armenia,2011,All genders,Not applicable,Number,37466
Armenia,2010,All genders,Not applicable,Number,35002
Armenia,2010,Female,Not applicable,Number,21519
Armenia,2009,Female,Not applicable,Number,22878
Armenia,2009,All genders,Not applicable,Number,37312
Armenia,2008,All genders,Not applicable,Number,28135
Armenia,2008,Female,Not applicable,Number,17337
Armenia,2007,Female,Not applicable,Number,16210
Armenia,2007,All genders,Not applicable,Number,26023
Armenia,2006,All genders,Not applicable,Number,23741
Armenia,2006,Female,Not applicable,Number,14639
Armenia,2005,Female,Not applicable,Number,14255
Armenia,2005,All genders,Not applicable,Number,23023
Armenia,2004,All genders,Not applicable,Number,21509
Armenia,2004,Female,Not applicable,Number,13297
Armenia,2003,Female,Not applicable,Number,13017
Armenia,2003,All genders,Not applicable,Number,20719
Armenia,2002,All genders,Not applicable,Number,19389
Armenia,2002,Female,Not applicable,Number,11984
Armenia,2001,Female,Not applicable,Number,11664
Armenia,2001,All genders,Not applicable,Number,18185
Aruba,2014,All genders,Not applicable,Number,223
Aruba,2014,Female,Not applicable,Number,177
Aruba,2012,Female,Not applicable,Number,285
Aruba,2012,All genders,Not applicable,Number,437
Aruba,2011,All genders,Not applicable,Number,351
Aruba,2011,Female,Not applicable,Number,217
Aruba,2010,Female,Not applicable,Number,173
Aruba,2010,All genders,Not applicable,Number,258
Aruba,2009,All genders,Not applicable,Number,285
Aruba,2009,Female,Not applicable,Number,205
Aruba,2008,Female,Not applicable,Number,165
Aruba,2008,All genders,Not applicable,Number,286
Aruba,2007,All genders,Not applicable,Number,300
Aruba,2007,Female,Not applicable,Number,150
Aruba,2006,Female,Not applicable,Number,189
Aruba,2006,All genders,Not applicable,Number,270
Aruba,2005,All genders,Not applicable,Number,245
Aruba,2005,Female,Not applicable,Number,155
Aruba,2004,Female,Not applicable,Number,163
Aruba,2004,All genders,Not applicable,Number,220
Aruba,2003,All genders,Not applicable,Number,352
Aruba,2003,Female,Not applicable,Number,272
Aruba,2002,Female,Not applicable,Number,163
Aruba,2002,All genders,Not applicable,Number,257
Aruba,2001,All genders,Not applicable,Number,288
Aruba,2001,Female,Not applicable,Number,188
Aruba,2000,Female,Not applicable,Number,181
Aruba,2000,All genders,Not applicable,Number,274
Aruba,1999,All genders,Not applicable,Number,194
