Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
China,2004,All genders,Not applicable,Number,3977882
China,2002,All genders,Not applicable,Number,1948080
China,2001,All genders,Not applicable,Number,1804660
China,2000,All genders,Not applicable,Number,1775999
Colombia,2014,Female,Not applicable,Number,155394
Colombia,2014,All genders,Not applicable,Number,279958
Colombia,2013,All genders,Not applicable,Number,344066
Colombia,2013,Female,Not applicable,Number,190285
Colombia,2012,All genders,Not applicable,Number,266413
Colombia,2012,Female,Not applicable,Number,143836
Colombia,2011,Female,Not applicable,Number,128165
Colombia,2011,All genders,Not applicable,Number,235203
Colombia,2010,All genders,Not applicable,Number,190250
Colombia,2010,Female,Not applicable,Number,106205
Colombia,2009,Female,Not applicable,Number,84444
Colombia,2009,All genders,Not applicable,Number,160835
Colombia,2008,All genders,Not applicable,Number,134923
Colombia,2008,Female,Not applicable,Number,57482
Colombia,2007,Female,Not applicable,Number,57507
Colombia,2007,All genders,Not applicable,Number,105866
Colombia,2006,Female,Not applicable,Number,57282
Colombia,2006,All genders,Not applicable,Number,115488
Colombia,2005,All genders,Not applicable,Number,131844
Colombia,2005,Female,Not applicable,Number,68390
Colombia,2004,Female,Not applicable,Number,42737
Colombia,2004,All genders,Not applicable,Number,82213
Colombia,2002,All genders,Not applicable,Number,65720
Colombia,2002,Female,Not applicable,Number,37193
Comoros,2013,All genders,Not applicable,Number,1277
Comoros,2000,All genders,Not applicable,Number,76
Comoros,1999,All genders,Not applicable,Number,246
Comoros,1999,Female,Not applicable,Number,120
Congo,2000,Female,Not applicable,Number,35
Congo,2000,All genders,Not applicable,Number,136
Cook Islands,2014,Female,Not applicable,Number,56
Cook Islands,2014,All genders,Not applicable,Number,70
Cook Islands,2011,All genders,Not applicable,Number,0
Cook Islands,2011,Female,Not applicable,Number,0
Cook Islands,2010,Female,Not applicable,Number,0
Cook Islands,2010,All genders,Not applicable,Number,0
Cook Islands,2008,All genders,Not applicable,Number,0
Cook Islands,2008,Female,Not applicable,Number,0
Cook Islands,2004,Female,Not applicable,Number,0
Cook Islands,2004,All genders,Not applicable,Number,0
Cook Islands,2003,All genders,Not applicable,Number,0
Cook Islands,2003,Female,Not applicable,Number,0
Cook Islands,2002,Female,Not applicable,Number,0
Cook Islands,2002,All genders,Not applicable,Number,0
Cook Islands,2001,All genders,Not applicable,Number,0
Cook Islands,2001,Female,Not applicable,Number,0
Cook Islands,2000,Female,Not applicable,Number,0
Cook Islands,2000,All genders,Not applicable,Number,0
Cook Islands,1999,All genders,Not applicable,Number,0
Cook Islands,1999,Female,Not applicable,Number,0
Costa Rica,2014,Female,Not applicable,Number,29297
Costa Rica,2014,All genders,Not applicable,Number,46341
Costa Rica,2013,All genders,Not applicable,Number,44575
Costa Rica,2013,Female,Not applicable,Number,28168
Costa Rica,2012,All genders,Not applicable,Number,44575
Costa Rica,2011,All genders,Not applicable,Number,40310
Costa Rica,2011,Female,Not applicable,Number,25749
Costa Rica,2010,Female,Not applicable,Number,24139
Costa Rica,2010,All genders,Not applicable,Number,38163
Costa Rica,2009,All genders,Not applicable,Number,33796
Costa Rica,2008,All genders,Not applicable,Number,31847
Costa Rica,2008,Female,Not applicable,Number,21198
Costa Rica,2007,Female,Not applicable,Number,19738
Costa Rica,2007,All genders,Not applicable,Number,30751
Costa Rica,2006,All genders,Not applicable,Number,28958
Costa Rica,2005,All genders,Not applicable,Number,26800
Costa Rica,2004,All genders,Not applicable,Number,26472
Costa Rica,2003,All genders,Not applicable,Number,25739
Costa Rica,2002,All genders,Not applicable,Number,26463
Costa Rica,2002,Female,Not applicable,Number,16491
Costa Rica,2001,Female,Not applicable,Number,14270
Costa Rica,2001,All genders,Not applicable,Number,23345
Costa Rica,2000,All genders,Not applicable,Number,26469
Costa Rica,1999,All genders,Not applicable,Number,23280
Croatia,2012,Female,Not applicable,Number,23604
Croatia,2012,All genders,Not applicable,Number,39820
Croatia,2011,All genders,Not applicable,Number,38789
Croatia,2011,Female,Not applicable,Number,22662
Croatia,2010,All genders,Not applicable,Number,34293
Croatia,2010,Female,Not applicable,Number,20706
Croatia,2009,Female,Not applicable,Number,18506
Croatia,2009,All genders,Not applicable,Number,31693
Croatia,2008,All genders,Not applicable,Number,26938
Croatia,2008,Female,Not applicable,Number,15736
Croatia,2007,Female,Not applicable,Number,12833
Croatia,2007,All genders,Not applicable,Number,22228
Croatia,2006,All genders,Not applicable,Number,20687
Croatia,2006,Female,Not applicable,Number,12131
Croatia,2005,Female,Not applicable,Number,11492
Croatia,2005,All genders,Not applicable,Number,19548
Croatia,2003,All genders,Not applicable,Number,15959
Croatia,2003,Female,Not applicable,Number,9022
Croatia,2002,Female,Not applicable,Number,8172
Croatia,2002,All genders,Not applicable,Number,14741
Croatia,2001,Female,Not applicable,Number,7951
Croatia,2001,All genders,Not applicable,Number,14469
Croatia,2000,All genders,Not applicable,Number,14339
Croatia,1999,All genders,Not applicable,Number,14099
Croatia,1999,Female,Not applicable,Number,7530
Cuba,2014,Female,Not applicable,Number,66972
Cuba,2014,All genders,Not applicable,Number,105293
Cuba,2013,All genders,Not applicable,Number,133291
Cuba,2013,Female,Not applicable,Number,83403
Cuba,2012,Female,Not applicable,Number,90353
Cuba,2012,All genders,Not applicable,Number,145275
Cuba,2011,All genders,Not applicable,Number,152441
Cuba,2011,Female,Not applicable,Number,92798
Cuba,2010,Female,Not applicable,Number,85042
Cuba,2010,All genders,Not applicable,Number,148022
Cuba,2009,All genders,Not applicable,Number,143333
Cuba,2009,Female,Not applicable,Number,74283
Cuba,2008,Female,Not applicable,Number,49666
Cuba,2008,All genders,Not applicable,Number,103761
Cuba,2007,All genders,Not applicable,Number,97282
Cuba,2007,Female,Not applicable,Number,52489
Cuba,2006,Female,Not applicable,Number,47180
Cuba,2006,All genders,Not applicable,Number,100874
Cuba,2005,All genders,Not applicable,Number,78529
Cuba,2005,Female,Not applicable,Number,46238
Cuba,2004,Female,Not applicable,Number,16936
Cuba,2004,All genders,Not applicable,Number,86334
Cuba,2003,All genders,Not applicable,Number,22108
Cuba,2003,Female,Not applicable,Number,13222
Cuba,2002,Female,Not applicable,Number,10857
Cuba,2002,All genders,Not applicable,Number,17459
Cyprus,2014,All genders,Not applicable,Number,7763
Cyprus,2014,Female,Not applicable,Number,4886
Cyprus,2013,Female,Not applicable,Number,3880
Cyprus,2013,All genders,Not applicable,Number,6354
Cyprus,2012,All genders,Not applicable,Number,6173
Cyprus,2012,Female,Not applicable,Number,3725
Cyprus,2011,Female,Not applicable,Number,3393
Cyprus,2011,All genders,Not applicable,Number,5931
Cyprus,2010,All genders,Not applicable,Number,5053
Cyprus,2010,Female,Not applicable,Number,3030
Cyprus,2009,Female,Not applicable,Number,2693
Cyprus,2009,All genders,Not applicable,Number,4522
Cyprus,2008,All genders,Not applicable,Number,4228
Cyprus,2008,Female,Not applicable,Number,2606
Cyprus,2007,Female,Not applicable,Number,2620
Cyprus,2007,All genders,Not applicable,Number,4445
Cyprus,2006,All genders,Not applicable,Number,3858
Cyprus,2006,Female,Not applicable,Number,2373
Cyprus,2005,Female,Not applicable,Number,2239
Cyprus,2005,All genders,Not applicable,Number,3676
Cyprus,2004,All genders,Not applicable,Number,3547
Cyprus,2004,Female,Not applicable,Number,2119
Cyprus,2003,Female,Not applicable,Number,1700
Cyprus,2003,All genders,Not applicable,Number,3110
Cyprus,2002,All genders,Not applicable,Number,2839
Cyprus,2002,Female,Not applicable,Number,1766
Cyprus,1999,Female,Not applicable,Number,1714
Cyprus,1999,All genders,Not applicable,Number,2597
Czech Republic,2014,All genders,Not applicable,Number,104671
Czech Republic,2014,Female,Not applicable,Number,62939
Czech Republic,2013,Female,Not applicable,Number,61723
Czech Republic,2013,All genders,Not applicable,Number,99932
Czech Republic,2012,All genders,Not applicable,Number,107773
Czech Republic,2012,Female,Not applicable,Number,67023
Czech Republic,2011,Female,Not applicable,Number,66631
Czech Republic,2011,All genders,Not applicable,Number,107118
Czech Republic,2010,All genders,Not applicable,Number,102898
Czech Republic,2010,Female,Not applicable,Number,61884
Czech Republic,2009,Female,Not applicable,Number,57819
Czech Republic,2009,All genders,Not applicable,Number,96207
Czech Republic,2008,All genders,Not applicable,Number,88975
Czech Republic,2008,Female,Not applicable,Number,51671
Czech Republic,2007,Female,Not applicable,Number,44283
Czech Republic,2007,All genders,Not applicable,Number,77580
Czech Republic,2006,All genders,Not applicable,Number,69312
Czech Republic,2006,Female,Not applicable,Number,39443
Czech Republic,2005,Female,Not applicable,Number,31116
Czech Republic,2005,All genders,Not applicable,Number,55055
Czech Republic,2004,All genders,Not applicable,Number,54341
Czech Republic,2004,Female,Not applicable,Number,31527
Czech Republic,2003,Female,Not applicable,Number,26031
Czech Republic,2003,All genders,Not applicable,Number,47178
Czech Republic,2002,All genders,Not applicable,Number,43664
Czech Republic,2002,Female,Not applicable,Number,24680
Czech Republic,2001,Female,Not applicable,Number,24117
Czech Republic,2001,All genders,Not applicable,Number,43629
Czech Republic,2000,All genders,Not applicable,Number,38376
Czech Republic,2000,Female,Not applicable,Number,21295
Czech Republic,1999,Female,Not applicable,Number,18742
Czech Republic,1999,All genders,Not applicable,Number,34734
Denmark,2014,Female,Not applicable,Number,40960
Denmark,2014,All genders,Not applicable,Number,70246
Denmark,2013,All genders,Not applicable,Number,66467
Denmark,2013,Female,Not applicable,Number,38213
Denmark,2012,Female,Not applicable,Number,33819
Denmark,2012,All genders,Not applicable,Number,58667
Denmark,2011,All genders,Not applicable,Number,57516
Denmark,2011,Female,Not applicable,Number,33287
Denmark,2010,Female,Not applicable,Number,31623
Denmark,2010,All genders,Not applicable,Number,54271
Denmark,2009,All genders,Not applicable,Number,53721
Denmark,2009,Female,Not applicable,Number,31348
Denmark,2008,Female,Not applicable,Number,28763
Denmark,2008,All genders,Not applicable,Number,49754
Denmark,2007,All genders,Not applicable,Number,50849
Denmark,2007,Female,Not applicable,Number,29174
Denmark,2006,Female,Not applicable,Number,27568
Denmark,2006,All genders,Not applicable,Number,47539
Denmark,2005,Female,Not applicable,Number,29299
Denmark,2005,All genders,Not applicable,Number,49704
Denmark,2004,All genders,Not applicable,Number,46726
Denmark,2004,Female,Not applicable,Number,27471
Denmark,2003,Female,Not applicable,Number,24729
Denmark,2003,All genders,Not applicable,Number,42637
Denmark,2002,All genders,Not applicable,Number,39285
Denmark,2002,Female,Not applicable,Number,22210
Denmark,2001,Female,Not applicable,Number,21974
Denmark,2001,All genders,Not applicable,Number,39017
Denmark,2000,All genders,Not applicable,Number,33188
Denmark,2000,Female,Not applicable,Number,19420
Denmark,1999,Female,Not applicable,Number,17475
Denmark,1999,All genders,Not applicable,Number,31048
Djibouti,2009,All genders,Not applicable,Number,637
Djibouti,2005,All genders,Not applicable,Number,280
Djibouti,2005,Female,Not applicable,Number,126
Djibouti,2003,All genders,Not applicable,Number,192
Djibouti,2002,All genders,Not applicable,Number,166
Djibouti,2001,All genders,Not applicable,Number,62
Djibouti,1999,All genders,Not applicable,Number,59
Djibouti,1999,Female,Not applicable,Number,33
Dominican Republic,2014,Female,Not applicable,Number,26170
Dominican Republic,2014,All genders,Not applicable,Number,41527
Dominican Republic,2012,All genders,Not applicable,Number,41114
Dominican Republic,2012,Female,Not applicable,Number,26366
Ecuador,2013,All genders,Not applicable,Number,91344
Ecuador,2013,Female,Not applicable,Number,52761
Ecuador,2012,Female,Not applicable,Number,46331
Ecuador,2012,All genders,Not applicable,Number,79189
Ecuador,2008,Female,Not applicable,Number,41253
Ecuador,2008,All genders,Not applicable,Number,70193
Ecuador,2007,All genders,Not applicable,Number,62972
Ecuador,2007,Female,Not applicable,Number,35760
Egypt,2014,Female,Not applicable,Number,289347
Egypt,2014,All genders,Not applicable,Number,547925
Egypt,2013,All genders,Not applicable,Number,510363
Egypt,2013,Female,Not applicable,Number,265817
Egypt,2012,All genders,Not applicable,Number,510390
El Salvador,2014,All genders,Not applicable,Number,22976
El Salvador,2014,Female,Not applicable,Number,12954
El Salvador,2013,Female,Not applicable,Number,13364
El Salvador,2013,All genders,Not applicable,Number,23619
El Salvador,2012,All genders,Not applicable,Number,21666
El Salvador,2012,Female,Not applicable,Number,12615
El Salvador,2011,Female,Not applicable,Number,11913
El Salvador,2011,All genders,Not applicable,Number,20284
El Salvador,2010,All genders,Not applicable,Number,17089
El Salvador,2010,Female,Not applicable,Number,10038
El Salvador,2009,Female,Not applicable,Number,9401
El Salvador,2009,All genders,Not applicable,Number,16168
El Salvador,2008,All genders,Not applicable,Number,15801
El Salvador,2008,Female,Not applicable,Number,9198
El Salvador,2007,Female,Not applicable,Number,8623
El Salvador,2007,All genders,Not applicable,Number,14811
El Salvador,2006,All genders,Not applicable,Number,13665
El Salvador,2006,Female,Not applicable,Number,8006
El Salvador,2005,All genders,Not applicable,Number,13962
El Salvador,2005,Female,Not applicable,Number,8121
El Salvador,2003,Female,Not applicable,Number,7284
El Salvador,2003,All genders,Not applicable,Number,12545
El Salvador,2002,All genders,Not applicable,Number,10187
El Salvador,2002,Female,Not applicable,Number,5621
El Salvador,2000,Female,Not applicable,Number,35257
El Salvador,2000,All genders,Not applicable,Number,71707
El Salvador,1999,All genders,Not applicable,Number,72179
El Salvador,1999,Female,Not applicable,Number,35596
Eritrea,2014,All genders,Not applicable,Number,2713
Eritrea,2014,Female,Not applicable,Number,714
Eritrea,2010,All genders,Not applicable,Number,3021
Eritrea,2004,All genders,Not applicable,Number,1254
Eritrea,2004,Female,Not applicable,Number,180
Eritrea,2003,Female,Not applicable,Number,137
Eritrea,2003,All genders,Not applicable,Number,1120
Eritrea,2002,All genders,Not applicable,Number,1084
Eritrea,2002,Female,Not applicable,Number,168
Eritrea,2001,Female,Not applicable,Number,119
Eritrea,2001,All genders,Not applicable,Number,905
Eritrea,2000,All genders,Not applicable,Number,503
Eritrea,2000,Female,Not applicable,Number,80
Eritrea,1999,Female,Not applicable,Number,101
Eritrea,1999,All genders,Not applicable,Number,823
Estonia,2014,All genders,Not applicable,Number,10190
Estonia,2014,Female,Not applicable,Number,6765
Estonia,2012,Female,Not applicable,Number,7716
Estonia,2012,All genders,Not applicable,Number,11437
Estonia,2011,All genders,Not applicable,Number,11828
Estonia,2011,Female,Not applicable,Number,8059
Estonia,2010,Female,Not applicable,Number,8028
Estonia,2010,All genders,Not applicable,Number,11439
Estonia,2009,All genders,Not applicable,Number,11489
Estonia,2009,Female,Not applicable,Number,8085
Estonia,2008,Female,Not applicable,Number,7863
Estonia,2008,All genders,Not applicable,Number,11345
Estonia,2007,All genders,Not applicable,Number,12612
Estonia,2007,Female,Not applicable,Number,8689
Estonia,2006,Female,Not applicable,Number,8240
Estonia,2006,All genders,Not applicable,Number,11546
Estonia,2005,All genders,Not applicable,Number,11793
Estonia,2005,Female,Not applicable,Number,8277
Estonia,2004,Female,Not applicable,Number,7328
Estonia,2004,All genders,Not applicable,Number,10235
Estonia,2003,All genders,Not applicable,Number,9877
Estonia,2003,Female,Not applicable,Number,6868
Estonia,2002,Female,Not applicable,Number,5295
Estonia,2002,All genders,Not applicable,Number,7764
Estonia,2001,All genders,Not applicable,Number,7600
Estonia,2001,Female,Not applicable,Number,4962
Estonia,2000,Female,Not applicable,Number,4651
Estonia,2000,All genders,Not applicable,Number,7045
Estonia,1999,All genders,Not applicable,Number,6436
Estonia,1999,Female,Not applicable,Number,4115
Ethiopia,2012,Female,Not applicable,Number,32977
Ethiopia,2012,All genders,Not applicable,Number,114895
Ethiopia,2011,All genders,Not applicable,Number,108400
Ethiopia,2011,Female,Not applicable,Number,32268
Ethiopia,2010,Female,Not applicable,Number,27176
Ethiopia,2010,All genders,Not applicable,Number,102633
Ethiopia,2008,All genders,Not applicable,Number,65373
Ethiopia,2008,Female,Not applicable,Number,15787
Ethiopia,2005,Female,Not applicable,Number,6982
Ethiopia,2005,All genders,Not applicable,Number,29581
Ethiopia,2004,All genders,Not applicable,Number,41364
Ethiopia,2004,Female,Not applicable,Number,12094
Ethiopia,2003,Female,Not applicable,Number,7281
Ethiopia,2003,All genders,Not applicable,Number,28691
Ethiopia,2002,All genders,Not applicable,Number,18375
Ethiopia,2002,Female,Not applicable,Number,4374
Ethiopia,2001,Female,Not applicable,Number,3855
Ethiopia,2001,All genders,Not applicable,Number,17969
Ethiopia,2000,All genders,Not applicable,Number,11627
Ethiopia,2000,Female,Not applicable,Number,2470
Ethiopia,1999,Female,Not applicable,Number,1722
Ethiopia,1999,All genders,Not applicable,Number,8555
Fiji,2004,All genders,Not applicable,Number,1679
Finland,2014,All genders,Not applicable,Number,53878
Finland,2014,Female,Not applicable,Number,32547
Finland,2013,Female,Not applicable,Number,31707
Finland,2013,All genders,Not applicable,Number,52730
Finland,2012,All genders,Not applicable,Number,53296
Finland,2012,Female,Not applicable,Number,32501
Finland,2011,Female,Not applicable,Number,31511
Finland,2011,All genders,Not applicable,Number,51441
Finland,2010,All genders,Not applicable,Number,48768
Finland,2010,Female,Not applicable,Number,29310
Finland,2009,Female,Not applicable,Number,27015
Finland,2009,All genders,Not applicable,Number,43009
Finland,2007,All genders,Not applicable,Number,42296
Finland,2007,Female,Not applicable,Number,26823
Finland,2006,Female,Not applicable,Number,25333
Finland,2006,All genders,Not applicable,Number,40472
Finland,2004,All genders,Not applicable,Number,38608
Finland,2004,Female,Not applicable,Number,23997
Finland,2003,Female,Not applicable,Number,23950
Finland,2003,All genders,Not applicable,Number,38645
Finland,2002,All genders,Not applicable,Number,38610
Finland,2002,Female,Not applicable,Number,23756
Finland,2001,Female,Not applicable,Number,22531
Finland,2001,All genders,Not applicable,Number,36898
Finland,2000,All genders,Not applicable,Number,36141
Finland,2000,Female,Not applicable,Number,22298
Finland,1999,Female,Not applicable,Number,22846
Finland,1999,All genders,Not applicable,Number,38075
France,2014,All genders,Not applicable,Number,741044
France,2014,Female,Not applicable,Number,414121
France,2013,Female,Not applicable,Number,407729
France,2013,All genders,Not applicable,Number,726540
France,2012,All genders,Not applicable,Number,697193
France,2012,Female,Not applicable,Number,392159
France,2009,Female,Not applicable,Number,355191
France,2009,All genders,Not applicable,Number,643259
France,2008,All genders,Not applicable,Number,628089
France,2008,Female,Not applicable,Number,344533
France,2007,Female,Not applicable,Number,343198
France,2007,All genders,Not applicable,Number,621444
France,2006,All genders,Not applicable,Number,622937
France,2006,Female,Not applicable,Number,343129
France,2005,Female,Not applicable,Number,357029
France,2005,All genders,Not applicable,Number,643604
France,2004,All genders,Not applicable,Number,664711
France,2004,Female,Not applicable,Number,371698
France,2003,Female,Not applicable,Number,330744
France,2003,All genders,Not applicable,Number,584849
France,2002,All genders,Not applicable,Number,532083
France,2002,Female,Not applicable,Number,295398
France,2000,Female,Not applicable,Number,277082
France,2000,All genders,Not applicable,Number,500079
France,1999,All genders,Not applicable,Number,497188
France,1999,Female,Not applicable,Number,275786
Gabon,1999,All genders,Not applicable,Number,2499
Gambia,2012,All genders,Not applicable,Number,3701
Gambia,2012,Female,Not applicable,Number,1755
Gambia,2011,Female,Not applicable,Number,1332
Gambia,2011,All genders,Not applicable,Number,2623
Gambia,2004,Female,Not applicable,Number,68
Gambia,2004,All genders,Not applicable,Number,470
Georgia,2014,All genders,Not applicable,Number,20408
Georgia,2014,Female,Not applicable,Number,12704
Georgia,2013,Female,Not applicable,Number,10050
Georgia,2013,All genders,Not applicable,Number,17683
Georgia,2012,All genders,Not applicable,Number,17906
Georgia,2012,Female,Not applicable,Number,10573
Georgia,2011,Female,Not applicable,Number,14466
Georgia,2011,All genders,Not applicable,Number,26589
Georgia,2010,All genders,Not applicable,Number,17732
Georgia,2010,Female,Not applicable,Number,10708
Georgia,2009,All genders,Not applicable,Number,37778
Georgia,2008,All genders,Not applicable,Number,55369
Georgia,2008,Female,Not applicable,Number,31665
Georgia,2007,Female,Not applicable,Number,16642
Georgia,2007,All genders,Not applicable,Number,34657
Georgia,2006,All genders,Not applicable,Number,28733
Georgia,2006,Female,Not applicable,Number,14673
Georgia,2005,Female,Not applicable,Number,13974
Georgia,2005,All genders,Not applicable,Number,26998
Georgia,2004,All genders,Not applicable,Number,24026
Georgia,2004,Female,Not applicable,Number,12829
Georgia,2003,Female,Not applicable,Number,13023
Georgia,2003,All genders,Not applicable,Number,24154
Georgia,2002,All genders,Not applicable,Number,22254
Georgia,2002,Female,Not applicable,Number,11733
Georgia,2001,Female,Not applicable,Number,11285
Georgia,2001,All genders,Not applicable,Number,20355
Georgia,2000,All genders,Not applicable,Number,21433
Georgia,2000,Female,Not applicable,Number,11393
Georgia,1999,Female,Not applicable,Number,12009
Georgia,1999,All genders,Not applicable,Number,22359
Germany,2014,All genders,Not applicable,Number,521844.560693
Germany,2014,Female,Not applicable,Number,263629.735375
Germany,2002,Female,Not applicable,Number,153437
Germany,2002,All genders,Not applicable,Number,293920
Germany,2001,All genders,Not applicable,Number,296640
Germany,2001,Female,Not applicable,Number,153177
Germany,2000,Female,Not applicable,Number,152064
Germany,2000,All genders,Not applicable,Number,302095
Germany,1999,All genders,Not applicable,Number,315257
Germany,1999,Female,Not applicable,Number,155767
Ghana,2014,All genders,Not applicable,Number,79345
Ghana,2014,Female,Not applicable,Number,31155
Ghana,2013,Female,Not applicable,Number,32464
Ghana,2013,All genders,Not applicable,Number,79738
Ghana,2012,All genders,Not applicable,Number,72071
Ghana,2012,Female,Not applicable,Number,28377
Gibraltar,2010,Female,Not applicable,Number,0
Gibraltar,2010,All genders,Not applicable,Number,0
Gibraltar,2009,All genders,Not applicable,Number,0
Gibraltar,2009,Female,Not applicable,Number,0
Gibraltar,2008,Female,Not applicable,Number,0
Gibraltar,2008,All genders,Not applicable,Number,0
Gibraltar,2006,All genders,Not applicable,Number,0
Gibraltar,2006,Female,Not applicable,Number,0
Gibraltar,2005,Female,Not applicable,Number,0
Gibraltar,2005,All genders,Not applicable,Number,0
Gibraltar,2004,All genders,Not applicable,Number,0
Gibraltar,2004,Female,Not applicable,Number,0
Gibraltar,2003,Female,Not applicable,Number,0
Gibraltar,2003,All genders,Not applicable,Number,0
Gibraltar,2002,All genders,Not applicable,Number,0
Gibraltar,2002,Female,Not applicable,Number,0
Gibraltar,2001,Female,Not applicable,Number,0
Gibraltar,2001,All genders,Not applicable,Number,0
Gibraltar,2000,All genders,Not applicable,Number,0
Gibraltar,2000,Female,Not applicable,Number,0
Gibraltar,1999,Female,Not applicable,Number,0
Gibraltar,1999,All genders,Not applicable,Number,0
Greece,2012,All genders,Not applicable,Number,66333
Greece,2012,Female,Not applicable,Number,39174
Greece,2011,Female,Not applicable,Number,39053
Greece,2011,All genders,Not applicable,Number,65291
Greece,2010,All genders,Not applicable,Number,65096
Greece,2010,Female,Not applicable,Number,38965
Greece,2008,Female,Not applicable,Number,39719
Greece,2008,All genders,Not applicable,Number,66956
Greece,2007,All genders,Not applicable,Number,60475
Greece,2007,Female,Not applicable,Number,35979
Greece,2005,Female,Not applicable,Number,36811
Greece,2005,All genders,Not applicable,Number,59872
Greece,2004,All genders,Not applicable,Number,48135
Greece,2004,Female,Not applicable,Number,29315
Greece,2002,Female,Not applicable,Number,24115
Greece,2002,All genders,Not applicable,Number,43710
Greece,2001,All genders,Not applicable,Number,38963
Greece,2001,Female,Not applicable,Number,21642
Guatemala,2013,Female,Not applicable,Number,12148
Guatemala,2013,All genders,Not applicable,Number,20831
Guatemala,2007,All genders,Not applicable,Number,6073
Guatemala,2007,Female,Not applicable,Number,3016
Guatemala,2002,Female,Not applicable,Number,1916
Guatemala,2002,All genders,Not applicable,Number,4086
Guinea,2014,All genders,Not applicable,Number,32755
Guinea,2014,Female,Not applicable,Number,10812
Guyana,2012,Female,Not applicable,Number,1376
Guyana,2012,All genders,Not applicable,Number,1838
Guyana,2011,All genders,Not applicable,Number,1701
Guyana,2011,Female,Not applicable,Number,1288
Guyana,2010,Female,Not applicable,Number,1209
Guyana,2010,All genders,Not applicable,Number,1641
Guyana,2009,All genders,Not applicable,Number,1220
Guyana,2009,Female,Not applicable,Number,845
Guyana,2008,All genders,Not applicable,Number,1746
Guyana,2008,Female,Not applicable,Number,1222
Guyana,2007,Female,Not applicable,Number,1152
Guyana,2007,All genders,Not applicable,Number,1627
Guyana,2006,Female,Not applicable,Number,1007
Guyana,2006,All genders,Not applicable,Number,1414
Guyana,2005,All genders,Not applicable,Number,1750
Guyana,2005,Female,Not applicable,Number,1164
Guyana,2004,Female,Not applicable,Number,686
Guyana,2004,All genders,Not applicable,Number,1123
Honduras,2014,Female,Not applicable,Number,14260
Honduras,2014,All genders,Not applicable,Number,21994
Honduras,2013,All genders,Not applicable,Number,18667
Honduras,2013,Female,Not applicable,Number,11776
Honduras,2012,Female,Not applicable,Number,11778
Honduras,2012,All genders,Not applicable,Number,18024
Honduras,2010,All genders,Not applicable,Number,15412
Honduras,2008,All genders,Not applicable,Number,13814
Honduras,2008,Female,Not applicable,Number,8288
Honduras,2003,Female,Not applicable,Number,4761
Honduras,2003,All genders,Not applicable,Number,7452
Hong Kong Special Administrative Region of China,2006,All genders,Not applicable,Number,41079
Hong Kong Special Administrative Region of China,2006,Female,Not applicable,Number,21566
Hong Kong Special Administrative Region of China,2005,Female,Not applicable,Number,21570
Hong Kong Special Administrative Region of China,2005,All genders,Not applicable,Number,41513
Hong Kong Special Administrative Region of China,2004,All genders,Not applicable,Number,42582
Hong Kong Special Administrative Region of China,2004,Female,Not applicable,Number,22210
Hong Kong Special Administrative Region of China,2003,Female,Not applicable,Number,20527
Hong Kong Special Administrative Region of China,2003,All genders,Not applicable,Number,40361
Hungary,2014,All genders,Not applicable,Number,72465
Hungary,2014,Female,Not applicable,Number,45351
Hungary,2012,All genders,Not applicable,Number,69917
Hungary,2012,Female,Not applicable,Number,44713
Hungary,2011,Female,Not applicable,Number,43292
Hungary,2011,All genders,Not applicable,Number,67857
Hungary,2010,All genders,Not applicable,Number,70358
Hungary,2010,Female,Not applicable,Number,45381
Hungary,2009,Female,Not applicable,Number,44833
Hungary,2009,All genders,Not applicable,Number,68158
Hungary,2008,All genders,Not applicable,Number,63331
Hungary,2008,Female,Not applicable,Number,42279
Hungary,2007,Female,Not applicable,Number,44686
Hungary,2007,All genders,Not applicable,Number,67224
Hungary,2006,All genders,Not applicable,Number,72154
Hungary,2006,Female,Not applicable,Number,47372
Hungary,2005,Female,Not applicable,Number,47556
Hungary,2005,All genders,Not applicable,Number,73769
Hungary,2004,All genders,Not applicable,Number,68070
Hungary,2004,Female,Not applicable,Number,43247
Hungary,2003,Female,Not applicable,Number,42021
Hungary,2003,All genders,Not applicable,Number,67606
Hungary,2002,All genders,Not applicable,Number,62296
Hungary,2002,Female,Not applicable,Number,37665
Hungary,2001,Female,Not applicable,Number,35551
Hungary,2001,All genders,Not applicable,Number,57882
Hungary,2000,All genders,Not applicable,Number,59883
Hungary,2000,Female,Not applicable,Number,33099
Hungary,1999,Female,Not applicable,Number,27689
Hungary,1999,All genders,Not applicable,Number,47964
Iceland,2012,All genders,Not applicable,Number,4099
Iceland,2012,Female,Not applicable,Number,2642
Iceland,2010,Female,Not applicable,Number,2739
Iceland,2010,All genders,Not applicable,Number,4105
Iceland,2009,All genders,Not applicable,Number,3450
Iceland,2009,Female,Not applicable,Number,2274
Iceland,2008,Female,Not applicable,Number,2400
Iceland,2008,All genders,Not applicable,Number,3627
Iceland,2007,All genders,Not applicable,Number,3541
Iceland,2007,Female,Not applicable,Number,2389
Iceland,2006,Female,Not applicable,Number,2282
Iceland,2006,All genders,Not applicable,Number,3397
Iceland,2005,All genders,Not applicable,Number,2914
Iceland,2005,Female,Not applicable,Number,1969
Iceland,2004,Female,Not applicable,Number,1889
Iceland,2004,All genders,Not applicable,Number,2838
Iceland,2003,All genders,Not applicable,Number,2516
Iceland,2003,Female,Not applicable,Number,1617
