;;;;;;;Burglary breaking and entering at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Burglary” means gaining unauthorised access to a part of a building/dwelling or other premises, including by use of force, with the intent to steal goods (breaking and entering). “Burglary” should include, where possible, theft from a house, appartment or other dwelling place, factory, shop or office, from a military establishment, or by using false keys. It should exclude theft from a car, from a container, from a vending machine, from a parking meter and from fenced meadow/compound.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;United States of America;2.154.834;2.144.446;2.155.448;2.194.993;2.190.198;2.228.887;2.203.313;2.168.459;2.185.140;2.109.932;1.932.139;1.729.806;;740,5;730,6;727,8;734,5;726,1;732,0;717,1;699,8;699,5;670,2;609,2;541,5
;South America;Brazil;;;;248.470;377.308;371.330;372.436;393.431;369.526;380.839;256.418;;;;;;130,3;195,7;190,7;189,3;198,1;184,3;188,2;125,5;
;;Chile;;;103.087;103.490;107.379;109.231;120.736;114.399;124.146;118.657;118.386;122.072;;;;640,4;635,7;652,3;656,2;717,4;672,3;721,7;682,4;673,6;687,2
;;Colombia;;;21.749;36.583;32.824;25.827;32.676;30.384;33.261;43.816;43.717;42.469;;;;50,2;83,5;74,0;57,5;71,9;66,2;71,7;93,5;92,3;88,9
;;Ecuador;10.224;10.434;12.094;14.695;;;;;;;;;;76,9;77,2;88,1;105,2;;;;;;;;
;;Guyana;;;;;;;;1.863;1.936;1.758;2.226;;;;;;;;;;247,3;256,1;231,8;292,5;
;;Paraguay;;;819;808;;448;;;;;;;;;;14,1;13,7;;7,4;;;;;;
;;Peru;;8.861;6.136;5.415;4.701;3.994;3.992;;;;;;;;32,5;22,2;19,4;16,6;13,9;13,8;;;;;
;;Suriname;2.476;2.183;;;;;;;;;;;;507,8;446,1;;;;;;;;;;
;;Uruguay;9.741;8.372;;;;;;;;;;;;292,9;251,9;;;;;;;;;;
