;;;;;;; Motor Vehicle Theft at the national level, number of police-recorded offences  ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Motor Vehicle Theft”means the removal of a motor vehicle without the consent of the owner of the vehicle. “Motor Vehicles” includes all land vehicles with an engine that run on the road, including cars, motorcycles, buses, lorries, construction and agricultural vehicles.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Bolivia (Plurinational State of);;;;3.285;2.869;3.153;3.543;4.113;5.938;5.613;;;;;;;35,4;30,4;32,8;36,3;41,5;58,9;54,8;;
;;Brazil;;;;210.212;188.713;183.048;188.205;121.486;167.109;185.288;228.936;;;;;;110,2;97,9;94,0;95,7;61,2;83,3;91,5;112,1;
;;Chile;;;12.108;13.638;19.284;21.422;27.864;30.782;34.741;33.014;31.220;32.862;;;;75,2;83,8;117,1;128,7;165,6;180,9;202,0;189,9;177,6;185,0
;;Colombia;;;;19.813;18.311;19.640;21.557;21.449;30.722;31.875;32.133;31.680;;;;;45,2;41,3;43,7;47,5;46,7;66,2;68,0;67,9;66,3
;;Ecuador;5.601;6.167;6.433;7.096;;;10.856;10.884;10.952;12.204;13.744;12.843;;42,1;45,6;46,8;50,8;;;73,9;72,9;72,2;79,1;87,8;80,8
;;Guyana;;;;;;;;23;25;48;77;;;;;;;;;;3,1;3,3;6,3;10,1;
;;Paraguay;;;1.524;2.677;3.368;3.598;4.374;4.757;5.119;4.390;4.425;4.108;;;;26,3;45,5;56,5;59,5;71,4;76,6;81,3;68,8;68,4;62,7
;;Peru;8.722;10.633;12.560;10.428;11.226;12.840;13.787;15.179;15.305;16.357;18.813;17.988;;32,4;39,0;45,5;37,3;39,7;44,8;47,5;51,7;51,4;54,2;61,5;58,1
;;Suriname;71;40;;;;;;;;;;;;14,6;8,2;;;;;;;;;;
;;Uruguay;4.456;4.677;;;;;;;;17.284;16.341;17.193;;134,0;140,7;;;;;;;;508,8;479,5;502,8
Asia;Central Asia;Kazakhstan;;;;2.141;1.702;1.914;1.780;2.264;3.721;5.345;4.457;;;;;;13,7;10,8;12,0;11,1;13,9;22,5;31,8;26,1;
;;Kyrgyzstan;219;238;295;218;310;237;238;765;254;290;300;311;;4,3;4,7;5,8;4,2;5,9;4,5;4,4;14,0;4,6;5,1;5,2;5,3
;;Tajikistan;;41;53;38;43;48;54;46;48;;;;;;0,6;0,8;0,5;0,6;0,7;0,7;0,6;0,6;;;
;;Turkmenistan;10;8;4;2;;;;;;;;;;0,2;0,2;0,1;0,0;;;;;;;;
;Eastern Asia;Hong Kong Special Administrative Region of China;2.301;1.740;1.568;1.752;1.382;1.347;1.095;945;864;600;588;;;33,6;25,4;22,9;25,6;20,1;19,5;15,8;13,5;12,3;8,4;8,2;
;;Japan;;185.454;150.883;129.352;114.818;108.546;108.799;98.266;94.100;81.751;72.971;59.824;;;146,3;118,8;101,7;90,2;85,3;85,4;77,2;73,9;64,3;57,5;47,2
;;Macao Special Administrative Region of China*;;;;;;866;490;410;495;494;364;355;;;;;;;170,7;94,0;76,7;90,5;88,6;64,1;61,4
;;Mongolia;;61;73;93;151;73;96;146;178;172;135;249;;;2,4;2,9;3,6;5,8;2,8;3,6;5,4;6,5;6,1;4,7;8,6
;;Republic of Korea;;;;14.090;11.468;9.969;7.704;7.441;10.354;6.033;7.044;5.636;;;;;29,4;23,8;20,6;15,8;15,2;21,0;12,2;14,1;11,3
