;;;;;;;Robbery at the national level, number of police-recorded offences;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Robbery”  means the theft of property from a person, overcoming resistance by force or threat of force. Where possible, the category “Robbery” should include muggings (bag-snatching) and theft with violence, but should exclude pick pocketing and extortion.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Panama*;;4.960;5.249;5.843;6.352;7.861;8.145;9.506;9.668;10.038;;;;;152,1;158,1;172,9;184,7;224,7;228,8;262,6;262,6;268,1;;
;Northern America;Bermuda;87;77;;;;;142;99;96;84;32;;;134,1;118,4;;;;;220,8;154,8;151,0;133,0;51,0;
;;Canada;32.084;30.990;32.437;34.641;34.182;32.372;32.463;30.478;29.790;27.748;23.249;20.924;;101,5;97,1;100,6;106,2;103,6;97,0;96,2;89,3;86,3;79,6;66,0;58,8
;;United States of America;414.235;401.470;417.438;449.246;447.324;443.563;408.742;369.089;354.746;355.051;345.093;325.802;;142,3;136,8;141,0;150,3;148,3;145,7;133,0;119,1;113,6;112,8;108,8;102,0
;South America;Argentina;;;355.332;354.040;339.347;386.828;;;;;;;;;;907,7;895,0;849,0;957,9;;;;;;
;;Bolivia (Plurinational State of);;;8.571;8.520;10.481;13.187;13.292;12.470;11.872;14.411;;;;;;93,9;91,8;111,0;137,4;136,2;125,7;117,8;140,7;;
;;Brazil;;;;894.978;927.667;934.548;910.679;1.081.041;1.087.059;979.571;1.012.504;;;;;;469,3;481,2;479,8;463,0;544,3;542,1;484,0;495,7;
;;Chile;;63.880;64.873;78.252;93.462;89.633;91.902;81.667;91.982;81.664;93.062;106.342;;;401,4;403,0;480,7;567,7;538,5;546,1;480,0;534,7;469,6;529,5;598,7
;;Colombia;;55.079;40.637;54.933;51.307;48.322;61.067;61.439;67.861;82.647;93.442;94.411;;;128,9;93,9;125,3;115,6;107,6;134,5;133,8;146,2;176,3;197,4;197,5
;;Ecuador;30.625;30.915;47.625;52.655;;;52.430;54.107;72.275;85.892;94.209;90.736;;230,4;228,8;346,7;377,0;;;356,9;362,3;476,2;557,0;601,5;570,6
;;Guyana;;;;;;;1.225;1.095;1.191;1.401;1.531;;;;;;;;;163,2;145,3;157,6;184,7;201,2;
;;Paraguay;;;;8.998;10.688;10.911;13.078;13.680;13.514;15.006;17.717;20.122;;;;;153,0;179,1;180,4;213,4;220,3;214,7;235,2;274,0;307,1
;;Peru;38.584;42.908;45.594;45.997;41.606;42.931;48.785;56.814;64.701;76.424;79.873;77.600;;143,2;157,3;165,1;164,6;147,1;149,9;168,2;193,4;217,4;253,4;261,3;250,5
;;Uruguay;9.700;9.224;9.700;8.867;9.173;10.705;11.391;13.829;15.003;15.414;16.718;18.561;;291,7;277,5;291,7;266,2;274,7;319,5;338,7;409,8;443,1;453,8;490,6;542,8
Asia;Central Asia;Kazakhstan;;;13.064;12.607;10.925;11.227;9.265;10.731;18.116;20.259;18.829;;;;;84,5;80,8;69,3;70,5;57,6;65,8;109,4;120,4;110,1;
;;Kyrgyzstan;;;2.718;2.405;2.488;2.347;2.347;2.798;2.434;2.074;1.616;;;;;53,1;46,5;47,6;44,3;43,6;51,2;43,8;36,7;28,1;
;;Tajikistan;;;;265;257;217;210;245;288;;;;;;;;3,8;3,6;3,0;2,8;3,2;3,7;;;
;;Turkmenistan;238;180;162;141;;;;;;;;;;5,1;3,8;3,4;2,9;;;;;;;;
;Eastern Asia;Hong Kong Special Administrative Region of China;3.215;2.237;1.675;1.574;1.216;1.100;870;778;731;616;500;;;46,9;32,7;24,5;23,0;17,7;15,9;12,5;11,1;10,4;8,7;7,0;
;;Japan;;7.295;5.988;5.108;4.567;4.300;4.536;4.052;3.698;3.693;3.324;3.056;;;5,8;4,7;4,0;3,6;3,4;3,6;3,2;2,9;2,9;2,6;2,4
;;Macao Special Administrative Region of China*;;;;;;378;268;178;198;179;150;120;;;;;;;74,5;51,4;33,3;36,2;32,1;26,4;20,8
;;Mongolia;825;655;584;455;656;818;754;520;536;552;620;686;;33,4;26,2;23,1;17,8;25,3;31,1;28,2;19,2;19,4;19,7;21,7;23,6
;;Republic of Korea;7.292;5.832;5.170;4.848;4.452;4.841;6.367;4.409;3.994;2.586;1.980;1.586;;15,5;12,3;10,9;10,1;9,2;10,0;13,0;9,0;8,1;5,2;4,0;3,2
;South-Eastern Asia;Brunei Darussalam;16;11;9;2;;;;;;;;;;4,6;3,1;2,5;0,5;;;;;;;;
;;Indonesia;;;;;;9.742;10.933;9.910;11.207;12.355;12.045;11.758;;;;;;;4,1;4,6;4,1;4,6;5,0;4,8;4,6
;;Malaysia;;;15.409;21.419;;;;;;;;;;;;59,7;81,6;;;;;;;;
;;Philippines*;7.536;7.558;7.723;7.313;6.520;6.584;45.063;35.870;30.806;26.988;49.247;;;9,1;8,9;9,0;8,3;7,3;7,3;49,2;38,6;32,6;28,1;50,5;
;;Singapore;973;829;1.092;946;989;929;713;518;394;290;254;230;;22,9;18,9;24,3;20,5;20,9;19,2;14,4;10,2;7,6;5,5;4,7;4,2
;;Thailand*;;;;;928;711;579;1.846;1.271;1.521;1.665;1.431;;;;;;1,4;1,1;0,9;2,8;1,9;2,3;2,5;2,1
;;Myanmar;;;;;;;18;13;10;10;13;;;;;;;;;0,0;0,0;0,0;0,0;0,0;
;Southern Asia;Bangladesh;;;912;856;;;;;;;;;;;;0,6;0,6;;;;;;;;
;;Bhutan;;;;;;29;24;47;41;33;41;;;;;;;;4,2;3,4;6,5;5,6;4,4;5,4;
;;India;;18.458;17.673;18.456;19.136;20.522;22.409;23.393;24.700;31.657;36.466;;;;1,6;1,5;1,6;1,6;1,7;1,8;1,9;2,0;2,5;2,9;
;;Maldives;268;467;;;410;600;591;547;718;972;729;;;90,8;155,7;;;129,9;186,9;180,9;164,5;212,0;281,9;207,6;
;;Nepal;;;223;148;;;;;;;;;;;;0,9;0,6;;;;;;;;
;;Sri Lanka;6.546;7.943;;;;6.729;6.100;6.440;6.240;6.552;4.743;;;34,1;41,0;;;;33,7;30,4;31,9;30,7;32,1;23,1;
;Western Asia;Armenia;140;243;269;265;199;350;416;356;344;310;;;;4,6;8,0;8,9;8,8;6,7;11,8;14,0;12,0;11,6;10,4;;
;;Azerbaijan;168;176;196;238;;;354;294;306;252;227;241;;2,0;2,1;2,3;2,7;;;3,9;3,2;3,3;2,7;2,4;2,5
;;Bahrain;244;478;420;233;295;306;;;;;;;;32,0;59,2;48,4;24,8;28,7;27,4;;;;;;
;;Cyprus;69;103;84;80;74;71;142;156;137;173;149;104;;6,9;10,1;8,1;7,6;7,0;6,6;13,0;14,1;12,3;15,3;13,1;9,0
;;Georgia;556;1.316;2.087;2.751;1.615;1.167;958;638;;;;471;;12,2;29,1;46,6;62,1;36,8;26,9;22,3;15,0;;;;11,7
;;Israel;;2.383;4.332;3.887;3.103;2.816;;2.906;2.746;;;;;;36,8;65,6;57,5;44,8;39,7;;39,2;36,3;;;
;;Jordan;;;619;802;;;;;;;;;;;;11,6;14,5;;;;;;;;
;;Kuwait;;426;431;668;723;802;657;;;;;;;;19,7;19,0;28,0;28,5;29,6;22,8;;;;;
